id,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
12844,22.0,54.7,44.5,Sandy,Cotton,18.1,1.5,47.2,DAP
14674,28.8,59.7,50.4,Silty,Potato,28.0,1.2,28.0,28-28
36671,22.9,62.0,47.1,Sandy,Cotton,14.0,14.0,35.0,14-35-14
6706,34.1,63.3,50.6,Loamy,Wheat,48.3,2.8,2.8,Urea
20262,30.8,75.0,46.7,Silty,Tomato,28.0,3.6,28.0,28-28
41683,27.4,61.4,39.4,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
1823,27.0,76.4,48.3,Loamy,Wheat,42.5,4.4,0.6,Urea
31403,32.4,58.5,33.6,Clayey,Rice,20.0,2.4,20.0,20-20
40106,20.3,63.6,50.7,Sandy,Cotton,14.0,14.0,35.0,14-35-14
26831,25.5,72.1,56.5,Loamy,Flowers,17.0,17.0,17.0,17-17-17
16546,25.1,63.0,42.0,Silty,Tomato,28.0,3.6,28.0,28-28
37508,23.1,62.0,43.3,Sandy,Cotton,14.0,14.0,35.0,14-35-14
38434,24.8,53.2,62.4,Loamy,Tomato,45.4,49.6,28.7,14-35-14
48322,19.4,70.3,42.4,Loamy,Potato,10.0,26.0,26.0,10-26-26
47638,21.2,64.4,43.8,Silty,Potato,10.0,26.0,26.0,10-26-26
14160,23.2,66.2,45.7,Loamy,Cotton,18.1,0.3,47.7,DAP
8932,26.9,66.2,49.1,Sandy,Groundnut,19.5,1.9,47.0,DAP
37829,23.3,59.3,36.1,Loamy,Sugarcane,14.0,14.0,35.0,14-35-14
16896,27.3,60.5,42.3,Loamy,Potato,28.0,3.2,28.0,28-28
7025,30.7,78.5,55.4,Loamy,Rice,50.0,2.6,5.0,Urea
660,27.2,70.1,45.2,Loamy,Maize,43.4,1.2,4.0,Urea
46952,23.1,68.3,56.1,Silty,Tomato,10.0,26.0,26.0,10-26-26
16422,23.7,56.7,49.5,Loamy,Tomato,28.0,4.1,28.0,28-28
12118,27.6,51.3,44.5,Loamy,Cotton,18.2,1.9,48.0,DAP
49745,18.9,70.6,46.3,Silty,Tomato,10.0,26.0,26.0,10-26-26
11646,27.2,61.3,31.4,Sandy,Cotton,18.1,1.4,46.6,DAP
11099,22.7,50.8,45.2,Loamy,Cotton,18.5,0.8,47.0,DAP
3397,33.1,61.4,45.6,Clayey,Wheat,46.2,1.4,2.0,Urea
31200,28.2,55.8,43.6,Clayey,Rice,20.0,2.0,20.0,20-20
1567,27.1,62.9,42.4,Loamy,Rice,42.0,3.1,3.7,Urea
293,29.3,62.9,57.8,Clayey,Rice,46.9,0.8,1.9,Urea
11029,20.2,69.5,49.2,Sandy,Groundnut,19.2,0.4,47.4,DAP
24514,20.4,64.1,45.9,Silty,Fruits,17.0,17.0,17.0,17-17-17
14581,26.6,66.4,42.7,Silty,Potato,28.0,4.7,28.0,28-28
18886,26.7,56.4,35.2,Silty,Onion,28.0,3.7,28.0,28-28
44219,27.7,79.1,52.6,Loamy,Tomato,10.0,26.0,26.0,10-26-26
6225,29.9,60.5,56.9,Clayey,Wheat,45.5,4.5,4.4,Urea
24960,23.9,70.9,59.2,Loamy,Vegetables,17.0,17.0,17.0,17-17-17
